"","Var1","Freq","rel"
"1","goede",1256,3.274
"2","zeer",773,2.015
"3","flinke",731,1.906
"4","goed",695,1.812
"5","nette",678,1.768
"6","verkrijgbaar",639,1.666
"7","groot",619,1.614
"8","liefst",577,1.504
"9","courant",546,1.423
"10","klein",487,1.27
"11","oud",469,1.223
"12","bekwame",456,1.189
"13","beste",449,1.171
"14","nieuwe",424,1.105
"15","bekwaam",362,0.944
"16","spoedig",353,0.92
"17","flink",347,0.905
"18","ruim",303,0.79
"19","oude",286,0.746
"20","nieuw",273,0.712
"21","fatsoenlijke",266,0.693
"22","werkzaam",262,0.683
"23","geheel",261,0.68
"24","gulden",244,0.636
"25","verder",242,0.631
"26","mogelijk",241,0.628
"27","hoog",234,0.61
"28","prima",231,0.602
"29","kleine",220,0.574
"30","solide",204,0.532
"31","half",199,0.519
"32","vast",198,0.516
"33","direct",195,0.508
"34","ruime",193,0.503
"35","nadere",182,0.474
"36","prachtige",175,0.456
"37","fijne",172,0.448
"38","later",171,0.446
"39","jonge",166,0.433
"40","vrij",164,0.428
"41","nieuws",156,0.407
"42","dagelijks",154,0.401
"43","gratis",152,0.396
"44","spoedigste",150,0.391
"45","volkomen",150,0.391
"46","eerder",147,0.383
"47","billijke",145,0.378
"48","eigen",142,0.37
"49","voorhanden",142,0.37
"50","net",140,0.365
"51","contant",138,0.36
"52","nader",138,0.36
"53","witte",135,0.352
"54","verschillende",134,0.349
"55","vrije",131,0.342
"56","zindelijke",130,0.339
"57","bekende",125,0.326
"58","laatste",123,0.321
"59","fatsoenlijk",122,0.318
"60","openbare",122,0.318
"61","extra",120,0.313
"62","mooie",116,0.302
"63","grondig",113,0.295
"64","jong",111,0.289
"65","goedkoop",110,0.287
"66","verdere",110,0.287
"67","algemeen",109,0.284
"68","fraaie",109,0.284
"69","tegenwoordige",105,0.274
"70","diverse",104,0.271
"71","netjes",104,0.271
"72","bijzonder",102,0.266
"73","gouden",102,0.266
"74","moderne",102,0.266
"75","bovengenoemd",101,0.263
"76","ver",98,0.255
"77","vroeger",98,0.255
"78","meest",96,0.25
"79","lange",90,0.235
"80","parijs",90,0.235
"81","volledige",90,0.235
"82","minder",89,0.232
"83","lang",88,0.229
"84","ongehuwd",88,0.229
"85","prachtig",88,0.229
"86","zuiver",88,0.229
"87","fijn",87,0.227
"88","gunstig",83,0.216
"89","gewone",82,0.214
"90","publiek",82,0.214
"91","behulpzaam",80,0.209
"92","billijk",80,0.209
"93","ijzeren",80,0.209
"94","paar",80,0.209
"95","druk",78,0.203
"96","echte",78,0.203
"97","gelegen",78,0.203
"98","jongste",78,0.203
"99","beschaafde",77,0.201
"100","best",77,0.201
"101","bovengenoemde",77,0.201
"102","eiken",77,0.201
"103","gemeubileerde",77,0.201
"104","gewoon",77,0.201
"105","lage",77,0.201
"106","lokaal",77,0.201
"107","halve",76,0.198
"108","zelfstandig",76,0.198
"109","zwart",76,0.198
"110","drukke",75,0.196
"111","degelijk",73,0.19
"112","onverschillig",73,0.19
"113","uitstekende",73,0.19
"114","voornoemd",73,0.19
"115","geachte",72,0.188
"116","grootste",72,0.188
"117","korte",72,0.188
"118","lager",71,0.185
"119","wollen",71,0.185
"120","zwarte",71,0.185
"121","ander",69,0.18
"122","bolle",69,0.18
"123","voldoende",69,0.18
"124","minzaam",68,0.177
"125","mooi",68,0.177
"126","zuivere",68,0.177
"127","degelijke",67,0.175
"128","vaste",67,0.175
"129","zilveren",67,0.175
"130","afzonderlijk",66,0.172
"131","buitengewone",66,0.172
"132","beroemde",65,0.169
"133","open",65,0.169
"134","volgende",65,0.169
"135","nieuwste",64,0.167
"136","beschaafd",63,0.164
"137","fijnste",63,0.164
"138","vlug",63,0.164
"139","dito",62,0.162
"140","fraai",61,0.159
"141","genoemde",61,0.159
"142","linnen",61,0.159
"143","gedeeltelijk",60,0.156
"144","disponibel",59,0.154
"145","zware",59,0.154
"146","geliefde",58,0.151
"147","licht",58,0.151
"148","speciaal",58,0.151
"149","eigenhandig",57,0.149
"150","puike",57,0.149
"151","beschikbaar",56,0.146
"152","bijzondere",56,0.146
"153","schriftelijk",56,0.146
"154","bosch",55,0.143
"155","deftig",54,0.141
"156","droog",54,0.141
"157","laatst",54,0.141
"158","bovenstaande",53,0.138
"159","voornaamste",53,0.138
"160","gemakkelijk",52,0.136
"161","aangenaam",51,0.133
"162","modern",51,0.133
"163","uitgezochte",51,0.133
"164","beklante",50,0.13
"165","compleet",50,0.13
"166","eenvoudige",50,0.13
"167","gevestigde",50,0.13
"168","ouder",50,0.13
"169","vol",50,0.13
"170","volle",50,0.13
"171","christelijke",49,0.128
"172","betaalbaar",47,0.123
"173","indische",47,0.123
"174","stil",47,0.123
"175","dubbele",46,0.12
"176","sterk",46,0.12
"177","wijlen",46,0.12
"178","wit",46,0.12
"179","zindelijk",46,0.12
"180","keurig",45,0.117
"181","verschuldigd",45,0.117
"182","bestaande",44,0.115
"183","bi",44,0.115
"184","geroutineerd",44,0.115
"185","kosteloos",44,0.115
"186","openbaar",44,0.115
"187","dinsdags",43,0.112
"188","gereed",43,0.112
"189","koloniale",43,0.112
"190","zondags",43,0.112
"191","intern",42,0.109
"192","persoonlijk",42,0.109
"193","uitmuntende",42,0.109
"194","vorige",42,0.109
"195","directe",41,0.107
"196","gunstige",41,0.107
"197","koninklijke",41,0.107
"198","onmiddellijk",41,0.107
"199","rijk",41,0.107
"200","schriftelijke",41,0.107
"201","donderdags",40,0.104
"202","eng",40,0.104
"203","geregelde",40,0.104
"204","meeste",40,0.104
"205","dergelijke",39,0.102
"206","eenvoudig",39,0.102
"207","gezochte",39,0.102
"208","haren",39,0.102
"209","huiselijk",39,0.102
"210","uitstekend",39,0.102
"211","buitengewoon",38,0.099
"212","droge",38,0.099
"213","extern",38,0.099
"214","groen",38,0.099
"215","leder",38,0.099
"216","echt",37,0.096
"217","gebouwd",37,0.096
"218","gewonen",37,0.096
"219","zwaar",37,0.096
"220","maandags",36,0.094
"221","rood",36,0.094
"222","werkende",36,0.094
"223","belanghebbenden",34,0.089
"224","blauwe",34,0.089
"225","los",34,0.089
"226","uiterst",34,0.089
"227","volledig",34,0.089
